Formula,T,Seebeck,s,k,ZT
BiSb(Se0.94Br0.06)3,500,-169,19362,0.53,0.522
Mg3.5Ho0.04Sb2,500,-267.96,15290,0.971,0.565
Cu1.95In0.05Se,374,218.91,12162,1.2,0.2
Ge0.87In0.05Pb0.08Te,550,216.47,53241,1.226,1.119
Ta0.98Ti0.02FeSb,370,207.6,49000,7.725,0.101
AgSb0.93Mn0.07Te2,491,119.47,84324,1.207,0.49
Li1.04Co0.85Ni0.15O2,1023,246,506.64,0.875,0.036
(Zn0.98In0.02)4Sb3,323,135,38540,0.842,0.269
SnS0.94Se0.06,873,382,6730,0.67,1.25
Bi2Te3,458,-155.03,83333,0.868,1.038
BiSb(Se0.98Br0.02)3,800,-229,12128,0.48,1.06
Sn0.98Pb0.01Zn0.01Se,373,460.71,3000,1.081,0.22
Gd2.84Se4,750,-126.5,23040,1.257,0.22
Ag0.5Sb1.1Pb19.6Te18.8,473,-14.4,29250,1.555,0.002
CuAgTe0.6Se0.4,363,222.28,8671,0.388,0.401
AgSbTe2,439,137.02,33533,1.039,0.266
Mg3Sb1.9Bi0.1,565,364,690,0.77,0.067
Ag8Sn0.4Ga0.6Se6,328,-552.34,33,0.211,0.016
(CaZn0.4Ag0.2Sb)0.91(LiZnSb)0.09,573,167.9,26585,0.797,0.539
Cu3P0.6Ge0.4S4,400,65,89800,1.582,0.096
(Cu0.004Pb0.996Te)(MnTe)0.03,823,-184.39,51034,1.379,1.036
Eu2Zn0.98Sb2,300,142,18000,0.5,0.218
Bi1.92Nb0.08Te3,478,-120.53,104026,0.794,0.91
Cu0.9Pd0.1FeS2,100,-73.28,52330,10.68,0.003
Cd2Cu3In3Te8,575,216,9100,0.98,0.249
BiSb(Se0.96Br0.04)3,600,-192,14630,0.53,0.63
EuCd2Sb2,500,301,7658,0.874,0.397
BaCu3.96S3.0,700,129,14795,0.833,0.207
Ca1.55Yb3.45Al2Sb6,702,159.12,2994,0.933,0.057
Sr14.5Ga29.2Ge56.3,669,-156.1,50350,1.678,0.489
Ge0.55Pb0.45Te0.8Se0.2,300,82.61,37975,1.028,0.1
